IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.219.78.1,8880,8880,false,SIN,Asia Pacific,Singapore,13,11.13
8.219.201.8,2087,2087,true,SIN,Asia Pacific,Singapore,12,11.13
47.245.11.216,2087,2087,true,LAX,North America,Los Angeles,392,11.13
47.245.8.156,2083,2083,true,SIN,Asia Pacific,Singapore,246,11.13
8.219.140.63,2082,2082,false,SIN,Asia Pacific,Singapore,11,11.12
47.74.26.131,8080,8080,false,NRT,Asia Pacific,Tokyo,80,11.12
47.245.3.137,2087,2087,true,NRT,Asia Pacific,Tokyo,88,11.12
47.91.19.249,8443,8443,true,LAX,North America,Los Angeles,214,11.12
47.245.82.78,2096,2096,true,SIN,Asia Pacific,Singapore,54,11.12
47.91.29.108,8443,8443,true,SIN,Asia Pacific,Singapore,176,11.11
47.236.148.174,2053,2053,true,SIN,Asia Pacific,Singapore,52,11.11
47.245.58.250,80,80,false,NRT,Asia Pacific,Tokyo,74,11.11
8.209.243.137,8443,8443,true,LAX,North America,Los Angeles,183,11.11
47.245.54.197,2083,2083,true,SIN,Asia Pacific,Singapore,358,11.11
47.91.23.146,2083,2083,true,NRT,Asia Pacific,Tokyo,82,11.11
47.245.37.98,2087,2087,true,LAX,North America,Los Angeles,433,11.11
47.74.13.66,8443,0,true,HKG,Asia Pacific,Hong Kong,193,11.10
8.219.97.179,2086,2086,false,SIN,Asia Pacific,Singapore,10,11.10
8.222.145.110,2053,2053,true,SIN,Asia Pacific,Singapore,88,11.10
47.236.123.133,2096,2096,true,SIN,Asia Pacific,Singapore,117,11.10
8.219.84.102,2053,2053,true,SIN,Asia Pacific,Singapore,125,11.10
47.91.21.127,2096,2096,true,NRT,Asia Pacific,Tokyo,81,11.09
8.219.170.180,2053,2053,true,SIN,Asia Pacific,Singapore,81,11.09
47.245.54.98,8880,8880,false,NRT,Asia Pacific,Tokyo,81,11.09
47.74.36.154,2086,2086,false,HKG,Asia Pacific,Hong Kong,168,11.09
47.74.22.171,8443,8443,true,NRT,Asia Pacific,Tokyo,120,11.09
47.236.99.131,2082,2082,false,SIN,Asia Pacific,Singapore,25,11.09
47.245.15.29,2087,2087,true,NRT,Asia Pacific,Tokyo,86,11.09
8.219.60.54,8880,8880,false,SIN,Asia Pacific,Singapore,3,11.08
47.245.29.234,8880,8880,false,HKG,Asia Pacific,Hong Kong,252,11.08
8.219.121.24,8443,8443,true,SIN,Asia Pacific,Singapore,75,11.08
47.245.12.179,80,80,false,LAX,North America,Los Angeles,183,11.08
