IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
154.40.33.128,57466,443,true,LAX,North America,Los Angeles,176,0.67
154.40.38.5,58275,443,true,LAX,North America,Los Angeles,182,0.60
154.40.38.5,58279,443,true,LAX,North America,Los Angeles,189,0.59
154.40.38.5,58274,443,true,LAX,North America,Los Angeles,188,0.58
154.40.38.5,58278,443,true,LAX,North America,Los Angeles,181,0.57
154.40.38.5,58277,443,true,LAX,North America,Los Angeles,183,0.53
154.9.237.177,20003,443,true,LAX,North America,Los Angeles,190,0.51
154.40.38.5,58275,443,true,LAX,North America,Los Angeles,181,0.48
154.12.55.78,40018,80,false,DEN,North America,Denver,188,0.48
154.40.38.53,34237,2096,true,LAX,North America,Los Angeles,206,0.46
154.40.38.5,58280,443,true,LAX,North America,Los Angeles,182,0.46
154.40.38.5,58276,443,true,LAX,North America,Los Angeles,184,0.37
38.47.114.190,29242,80,false,LAX,North America,Los Angeles,167,0.35
154.12.55.78,40002,80,false,ANC,North America,Anchorage,167,0.27
154.9.30.13,51,0,false,LAX,North America,Los Angeles,168,0.27
154.12.55.78,40013,80,false,CMH,North America,Columbus,182,0.24
154.12.55.78,40004,80,false,DFW,North America,Dallas,184,0.22
154.12.55.78,40008,80,false,MIA,North America,Miami,206,0.20
154.12.55.78,40014,80,false,ORD,North America,Chicago,168,0.19
154.12.55.78,40016,80,false,ORD,North America,Chicago,173,0.19
154.12.55.78,40009,80,false,ATL,North America,Atlanta,180,0.11
154.29.149.1,80,0,false,LAX,North America,Los Angeles,176,0.11
154.37.152.11,8082,0,false,LAX,North America,Los Angeles,189,0.08
89.213.182.66,80,0,false,LAX,North America,Los Angeles,183,0.08
89.213.182.66,80,0,false,LAX,North America,Los Angeles,182,0.08
154.9.234.37,80,0,false,LAX,North America,Los Angeles,163,0.07
154.12.55.78,40005,80,false,DEN,North America,Denver,203,0.07
154.12.55.45,11451,0,false,LAX,North America,Los Angeles,187,0.06
154.7.179.238,443,0,false,LAX,North America,Los Angeles,185,0.06
154.40.56.85,80,0,false,LAX,North America,Los Angeles,181,0.04
154.9.237.143,20005,443,true,LAX,North America,Los Angeles,225,0.04
154.12.55.45,10100,0,false,LAX,North America,Los Angeles,182,0.02
154.9.240.102,40088,0,false,LAX,North America,Los Angeles,181,0.02
103.20.199.186,443,0,false,HKG,Asia Pacific,Hong Kong,84,0.01
103.20.199.186,80,0,false,SIN,Asia Pacific,Singapore,86,0.01
154.40.39.159,80,0,false,LAX,North America,Los Angeles,163,0.00
154.12.59.160,3211,0,false,LAX,North America,Los Angeles,167,0.00
154.9.30.159,6666,0,false,LAX,North America,Los Angeles,177,0.00
38.47.117.134,13126,0,true,LAX,North America,Los Angeles,168,0.00
154.12.55.157,9900,0,false,LAX,North America,Los Angeles,173,0.00
108.165.40.170,80,0,false,LAX,North America,Los Angeles,176,0.00
154.12.59.59,443,443,true,LAX,North America,Los Angeles,188,0.00
