IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
38.47.115.152,34237,2096,true,LAX,North America,Los Angeles,212,6.50
38.47.116.229,34237,2096,true,LAX,North America,Los Angeles,167,6.42
154.40.49.122,34237,2096,true,LAX,North America,Los Angeles,172,6.32
154.7.179.213,23262,443,true,LAX,North America,Los Angeles,162,6.17
89.213.182.222,34237,2096,true,LAX,North America,Los Angeles,169,5.77
154.7.179.92,39861,443,true,LAX,North America,Los Angeles,168,5.63
154.7.180.15,7,443,true,LAX,North America,Los Angeles,195,5.48
154.9.224.162,58732,443,true,LAX,North America,Los Angeles,184,5.41
154.9.237.201,20005,443,true,LAX,North America,Los Angeles,171,5.36
154.9.224.162,49360,443,true,LAX,North America,Los Angeles,186,5.28
154.12.39.145,41662,443,true,LAX,North America,Los Angeles,164,5.27
154.9.237.165,20004,443,true,LAX,North America,Los Angeles,211,5.21
154.7.179.213,13764,443,true,LAX,North America,Los Angeles,177,5.20
154.9.237.205,20005,443,true,LAX,North America,Los Angeles,204,5.20
154.9.237.167,20004,443,true,LAX,North America,Los Angeles,187,5.18
154.12.39.241,41847,443,true,LAX,North America,Los Angeles,186,5.17
154.9.237.166,20004,443,true,LAX,North America,Los Angeles,168,5.12
154.7.179.213,15299,443,true,LAX,North America,Los Angeles,178,5.12
154.9.237.169,20004,443,true,LAX,North America,Los Angeles,168,5.11
154.12.39.145,47971,443,true,LAX,North America,Los Angeles,166,5.10
154.12.39.241,13789,443,true,LAX,North America,Los Angeles,175,5.03
154.7.179.213,39561,443,true,LAX,North America,Los Angeles,190,4.96
154.7.179.213,33573,443,true,LAX,North America,Los Angeles,184,4.71
154.7.179.213,38676,443,true,LAX,North America,Los Angeles,175,4.29
154.64.225.139,30371,443,true,LAX,North America,Los Angeles,164,3.80
154.40.56.39,8443,443,true,LAX,North America,Los Angeles,163,3.71
154.64.228.213,34237,2096,true,LAX,North America,Los Angeles,176,3.64
154.40.36.250,34237,2096,true,LAX,North America,Los Angeles,181,3.55
154.9.237.174,20003,443,true,LAX,North America,Los Angeles,221,3.00
154.12.59.251,18005,443,true,LAX,North America,Los Angeles,186,2.97
154.9.237.178,20003,443,true,LAX,North America,Los Angeles,225,2.94
154.9.237.175,20003,443,true,LAX,North America,Los Angeles,191,2.90
154.9.237.180,20005,443,true,LAX,North America,Los Angeles,182,2.69
154.9.237.182,20005,443,true,LAX,North America,Los Angeles,189,2.64
154.9.237.183,20005,443,true,LAX,North America,Los Angeles,191,2.64
154.9.237.160,20005,443,true,LAX,North America,Los Angeles,280,2.62
154.9.240.205,25510,443,true,LAX,North America,Los Angeles,189,2.48
154.64.225.107,8602,443,true,LAX,North America,Los Angeles,176,2.47
154.7.179.213,44154,443,true,LAX,North America,Los Angeles,177,2.33
154.9.237.207,20005,443,true,LAX,North America,Los Angeles,168,2.19
154.9.237.199,20005,443,true,LAX,North America,Los Angeles,248,2.14
154.9.237.211,20005,443,true,LAX,North America,Los Angeles,182,2.11
154.9.237.209,20005,443,true,LAX,North America,Los Angeles,169,2.10
154.9.237.194,20005,443,true,LAX,North America,Los Angeles,239,2.10
154.64.228.109,34237,2096,true,LAX,North America,Los Angeles,167,1.81
89.213.182.151,35967,443,true,LAX,North America,Los Angeles,181,1.74
154.9.237.213,20001,443,true,LAX,North America,Los Angeles,231,1.57
154.9.237.214,20005,443,true,LAX,North America,Los Angeles,179,1.56
154.9.237.212,20005,443,true,LAX,North America,Los Angeles,181,1.55
154.9.237.224,20002,443,true,LAX,North America,Los Angeles,183,1.54
154.9.237.162,31630,443,true,LAX,North America,Los Angeles,214,1.54
154.9.237.229,20002,443,true,LAX,North America,Los Angeles,173,1.53
154.9.237.218,20005,443,true,LAX,North America,Los Angeles,277,1.52
154.9.237.163,20003,443,true,LAX,North America,Los Angeles,189,1.52
154.9.237.147,31630,443,true,LAX,North America,Los Angeles,183,1.52
154.9.237.212,20001,443,true,LAX,North America,Los Angeles,179,1.51
154.9.237.228,20005,443,true,LAX,North America,Los Angeles,238,1.51
154.9.237.217,20001,443,true,LAX,North America,Los Angeles,182,1.51
154.9.237.148,31630,443,true,LAX,North America,Los Angeles,169,1.51
154.9.237.147,20003,443,true,LAX,North America,Los Angeles,185,1.51
154.9.237.164,20003,443,true,LAX,North America,Los Angeles,171,1.51
154.9.237.228,20002,443,true,LAX,North America,Los Angeles,183,1.50
154.9.237.226,20002,443,true,LAX,North America,Los Angeles,190,1.50
154.9.237.148,20003,443,true,LAX,North America,Los Angeles,182,1.49
154.9.237.230,20005,443,true,LAX,North America,Los Angeles,190,1.49
154.9.237.230,20002,443,true,LAX,North America,Los Angeles,188,1.49
154.9.237.218,20001,443,true,LAX,North America,Los Angeles,172,1.42
154.64.225.170,34237,2096,true,LAX,North America,Los Angeles,212,1.34
154.9.240.205,25510,443,true,LAX,North America,Los Angeles,169,1.33
89.213.182.14,34661,443,true,LAX,North America,Los Angeles,214,1.28
154.9.237.143,20003,443,true,LAX,North America,Los Angeles,181,1.22
154.9.237.141,20005,443,true,LAX,North America,Los Angeles,178,1.20
154.9.237.141,20003,443,true,LAX,North America,Los Angeles,182,1.19
154.9.237.161,20005,443,true,LAX,North America,Los Angeles,189,1.19
154.9.237.142,20003,443,true,LAX,North America,Los Angeles,195,1.19
154.9.237.215,20003,443,true,LAX,North America,Los Angeles,218,1.18
154.9.237.161,20003,443,true,LAX,North America,Los Angeles,169,1.18
154.9.237.215,20005,443,true,LAX,North America,Los Angeles,191,0.98
89.213.182.151,35967,443,true,LAX,North America,Los Angeles,215,0.76
